sample_id,sleepprotocol,hoursawake,circadianphase,ARNTL,NR1D1,PER3,ATF1,PUF60,EIF3M
GSM968996,Sleep Restriction,7.5,-15,14474.5,18669.0,4803.0,339.0,5646.0,14323.0
GSM968997,Sleep Restriction,10.5,-12,19757.0,15666.0,5223.0,343.0,6746.0,19127.5
GSM968998,Sleep Restriction,13.5,-9,20720.0,15256.5,27242.2,317.0,7039.0,20834.5
GSM968999,Sleep Restriction,16.5,-6,25481.0,14304.5,5927.0,381.0,7027.0,27024.0
GSM969000,Sleep Restriction,19.5,-3,18390.5,12499.0,5181.5,403.0,5975.0,21402.0
GSM969001,Sleep Restriction,22.5,0,15647.0,14117.0,5116.0,300.5,6942.0,17418.5
GSM969002,Sleep Restriction,25.5,3,12294.5,13996.0,4802.5,293.0,4906.5,10950.0
GSM969003,Sleep Restriction,28.5,6,21157.0,19143.0,5496.5,328.0,7998.5,18242.0
GSM969004,Sleep Restriction,31.5,9,21621.0,13331.0,5030.0,368.0,7006.0,17487.0
GSM969005,Sleep Restriction,34.5,12,11243.5,11756.0,3981.5,240.0,4116.0,9685.0
GSM969006,Sleep Extension,7.5,-12,22074.0,23987.0,5781.5,594.0,11794.5,20894.0
GSM969007,Sleep Extension,13.5,-6,32361.0,23159.5,6308.0,444.0,15494.0,29704.5
GSM969008,Sleep Extension,16.5,-3,45384.5,28860.5,7666.5,645.0,18895.0,42223.2
GSM969009,Sleep Extension,19.5,0,28355.5,25756.0,6470.0,560.0,13416.5,28202.5
GSM969010,Sleep Extension,22.5,3,47915.5,27573.0,7955.0,702.0,18539.0,46022.9
GSM969011,Sleep Extension,25.5,6,32356.5,23456.0,6398.5,613.5,13029.0,26556.0
GSM969012,Sleep Extension,28.5,9,31902.5,22379.5,5582.5,511.0,12490.0,24571.0
GSM969013,Sleep Extension,31.5,12,32275.0,20718.5,5530.0,463.5,13716.0,23257.0
GSM969014,Sleep Extension,34.5,15,28745.5,21519.0,6140.5,466.5,12470.0,22103.0
GSM969015,Sleep Restriction,7.5,-15,12195.0,12050.0,3821.5,253.0,4535.0,10923.0
GSM969016,Sleep Restriction,13.5,-9,21400.5,12298.5,4286.0,359.0,6511.0,32171.0
GSM969017,Sleep Restriction,22.5,0,16080.0,7397.0,4607.0,327.0,5148.0,17753.5
GSM969018,Sleep Restriction,25.5,3,13689.0,14973.5,4011.0,263.0,4973.0,12807.0
GSM969019,Sleep Restriction,28.5,6,23190.5,15833.5,4668.5,355.0,8401.0,18456.0
GSM969020,Sleep Extension,7.5,-12,33966.5,25376.0,6637.0,522.5,8213.0,24020.0
GSM969021,Sleep Extension,10.5,-9,43213.5,25001.5,7438.5,487.5,8553.0,29007.5
GSM969022,Sleep Extension,13.5,-6,32695.5,20550.0,6468.5,530.0,8730.0,30073.0
GSM969023,Sleep Extension,16.5,-3,22955.0,13648.0,5508.0,369.0,6339.0,22822.0
GSM969024,Sleep Extension,19.5,0,27526.5,17150.5,6714.0,475.5,7451.0,22732.0
GSM969025,Sleep Extension,22.5,3,35270.0,23012.0,7182.0,601.0,10591.0,25093.0
GSM969026,Sleep Extension,25.5,6,39394.5,28991.5,6214.5,537.0,10232.0,24712.0
GSM969027,Sleep Extension,34.5,15,29801.0,31432.5,5345.5,496.0,7131.0,32702.9
GSM969028,Sleep Restriction,7.5,-15,25334.5,23718.5,5876.5,562.5,6456.0,19329.0
GSM969029,Sleep Restriction,10.5,-12,27290.5,23062.0,5483.0,413.0,7376.0,18687.5
GSM969030,Sleep Restriction,13.5,-9,32062.5,18461.5,6357.0,553.0,8355.5,22153.0
GSM969031,Sleep Restriction,16.5,-6,28151.0,24973.0,6970.0,442.0,8531.0,18752.0
GSM969032,Sleep Restriction,25.5,3,19284.5,17118.0,5345.5,368.0,5019.5,15611.0
GSM969033,Sleep Restriction,28.5,6,28616.0,33512.0,6771.0,492.0,6736.0,20986.0
GSM969034,Sleep Restriction,34.5,12,14780.0,10464.5,4131.5,205.0,3717.0,10128.0
GSM969035,Sleep Extension,7.5,-12,12741.5,11300.0,5643.0,338.0,3861.5,9293.5
GSM969036,Sleep Extension,10.5,-9,19961.5,13717.5,6148.5,289.0,7194.5,16948.0
GSM969037,Sleep Extension,13.5,-6,52732.5,26896.0,9526.5,863.0,17968.0,50301.2
GSM969038,Sleep Extension,16.5,-3,19178.0,11757.5,4943.0,440.5,6762.0,17115.5
GSM969039,Sleep Extension,19.5,0,27296.5,19885.0,7315.0,488.0,10281.0,21216.0
GSM969040,Sleep Extension,22.5,3,48921.0,23528.0,9836.5,653.0,13195.0,51067.4
GSM969041,Sleep Extension,25.5,6,36616.0,25511.5,8543.0,541.0,9203.5,24631.5
GSM969042,Sleep Extension,28.5,9,23968.5,19070.0,5951.5,402.0,7667.0,17784.0
GSM969043,Sleep Extension,31.5,12,35948.0,26974.5,8392.5,663.0,8420.0,26676.5
GSM969044,Sleep Extension,34.5,15,16024.5,16621.0,5239.0,326.0,5061.0,12735.0
GSM969045,Sleep Restriction,7.5,-15,19387.0,18915.0,6001.0,391.5,6655.5,15292.0
GSM969046,Sleep Restriction,10.5,-12,15184.0,11974.5,4876.0,310.0,5604.0,11002.0
GSM969047,Sleep Restriction,13.5,-9,25751.5,20167.0,5761.0,545.5,8800.0,23290.0
GSM969048,Sleep Restriction,16.5,-6,16131.5,13794.5,4866.0,288.0,6150.0,12908.0
GSM969049,Sleep Restriction,19.5,-3,38743.0,19590.0,8144.0,621.0,9199.0,36124.7
GSM969050,Sleep Restriction,22.5,0,23989.5,16237.0,5291.5,328.0,5754.0,29487.0
GSM969051,Sleep Restriction,25.5,3,21513.0,20892.5,5753.5,504.5,6878.0,16578.5
GSM969052,Sleep Restriction,28.5,6,13091.5,10446.5,4128.0,222.0,4276.0,7117.0
GSM969053,Sleep Restriction,31.5,9,8802.0,9676.5,3700.5,206.0,2639.0,5937.0
GSM969054,Sleep Restriction,34.5,12,19454.5,14867.5,4544.0,332.0,5044.5,15818.0
GSM969055,Sleep Extension,7.5,-12,27686.0,16740.0,6275.5,582.0,8327.0,27338.5
GSM969056,Sleep Extension,10.5,-9,31914.0,16825.5,6806.5,580.0,7124.0,29419.5
GSM969057,Sleep Extension,13.5,-6,57724.0,19790.0,8235.0,924.5,14729.5,57177.100000000006
GSM969058,Sleep Extension,16.5,-3,28269.5,15585.5,6568.0,408.0,7518.5,31069.0
GSM969059,Sleep Extension,19.5,0,35538.5,13778.5,7873.0,497.0,7396.5,35073.2
GSM969060,Sleep Extension,22.5,3,32268.0,23818.5,7053.0,463.0,7708.5,42218.9
GSM969061,Sleep Extension,25.5,6,36357.5,22181.5,6889.0,454.5,8121.0,25803.5
GSM969062,Sleep Extension,28.5,9,59368.0,23962.5,8083.5,569.5,9919.0,35375.3
GSM969063,Sleep Extension,31.5,12,54294.0,26883.5,8084.0,590.0,11198.5,39337.3
GSM969064,Sleep Extension,34.5,15,65048.5,20555.5,8056.5,643.0,11453.5,38207.8
GSM969065,Sleep Restriction,7.5,-15,28317.0,19415.0,7355.5,600.0,7617.0,27120.5
GSM969066,Sleep Restriction,10.5,-12,37278.5,20669.0,7954.5,728.5,10235.0,36269.9
GSM969067,Sleep Restriction,13.5,-9,30264.0,14979.5,7057.5,601.0,7537.0,29024.0
GSM969068,Sleep Restriction,16.5,-6,19843.5,16133.5,5767.5,439.5,6534.5,19243.5
GSM969069,Sleep Restriction,19.5,-3,19313.0,9968.0,5573.5,391.0,5059.0,19421.5
GSM969070,Sleep Restriction,22.5,0,10658.5,18381.5,5440.0,411.0,4115.5,9406.0
GSM969071,Sleep Restriction,25.5,3,32074.5,17007.0,5625.0,500.0,6077.0,24069.0
GSM969072,Sleep Restriction,28.5,6,49129.5,27570.0,8595.0,664.5,10909.0,32284.0
GSM969073,Sleep Restriction,31.5,9,44929.5,23404.5,7692.5,626.0,10366.5,29957.0
GSM969074,Sleep Restriction,34.5,12,23225.0,19968.0,6050.5,592.0,8085.5,17775.0
GSM969075,Sleep Extension,13.5,-9,13183.5,11537.5,3856.0,266.5,4385.0,11788.0
GSM969076,Sleep Extension,16.5,-3,11987.0,10345.5,4021.5,252.0,4876.0,12800.5
GSM969077,Sleep Extension,19.5,-3,10540.5,6510.0,3465.0,180.0,2645.5,7193.0
GSM969078,Sleep Extension,25.5,3,11754.5,12099.0,3750.0,226.5,4572.0,10292.0
GSM969079,Sleep Extension,28.5,6,12079.5,9458.5,3758.0,228.0,4044.0,8054.0
GSM969080,Sleep Extension,31.5,9,9983.5,10016.0,3488.5,223.5,3984.0,7134.5
GSM969081,Sleep Extension,34.5,12,10306.0,8194.5,4084.5,264.0,4753.5,8461.5
GSM969082,Sleep Restriction,7.5,-15,18085.0,9304.0,4305.0,355.0,4576.0,18283.5
GSM969083,Sleep Restriction,10.5,-12,10332.5,10393.0,3681.0,226.0,3535.0,8401.0
GSM969084,Sleep Restriction,13.5,-9,13855.5,12101.5,3979.0,276.0,4341.5,13529.0
GSM969085,Sleep Restriction,16.5,-6,11117.5,7642.5,3839.0,234.0,3754.0,9115.0
GSM969086,Sleep Restriction,19.5,-3,15020.0,12647.0,4478.0,328.5,6105.0,14420.0
GSM969087,Sleep Restriction,22.5,0,11931.0,8123.5,4637.5,325.0,4584.5,10357.0
GSM969088,Sleep Restriction,25.5,3,15245.0,11489.5,4365.5,286.0,5907.0,12011.0
GSM969089,Sleep Restriction,28.5,6,13600.5,9654.0,3920.0,215.5,4386.0,8406.5
GSM969090,Sleep Restriction,31.5,9,13541.0,11741.0,4038.5,234.5,4736.5,8474.5
GSM969091,Sleep Extension,10.5,-9,21879.0,5015.0,4021.0,202.0,5017.0,20694.0
GSM969092,Sleep Extension,16.5,-3,19263.0,4883.0,4329.0,266.0,4250.5,17796.0
GSM969093,Sleep Extension,19.5,0,21668.5,6289.5,4445.5,231.5,4512.0,20437.5
GSM969094,Sleep Extension,22.5,3,12920.0,3851.5,3926.5,179.0,2820.0,9799.5
GSM969095,Sleep Extension,25.5,6,25222.5,8400.5,4248.5,257.0,5235.0,19000.0
GSM969096,Sleep Extension,28.5,9,23277.0,6136.0,3830.5,250.0,4341.5,15862.5
GSM969097,Sleep Extension,7.5,-12,16164.5,7068.0,3472.0,277.0,5181.0,11880.5
GSM969098,Sleep Extension,10.5,-9,10186.5,7388.0,3331.5,201.0,4071.0,7195.0
GSM969099,Sleep Extension,13.5,-6,9590.5,7974.0,3113.0,159.0,3500.0,9608.0
GSM969100,Sleep Extension,16.5,-3,12983.0,7864.0,3250.5,210.0,4779.0,14225.0
GSM969101,Sleep Extension,19.5,0,9186.0,8110.5,3330.5,181.0,3797.0,10501.5
GSM969102,Sleep Extension,22.5,3,10867.5,7178.0,3681.5,175.0,4271.0,9598.5
GSM969103,Sleep Extension,25.5,6,8796.5,7546.5,3285.0,175.5,3663.5,5207.5
GSM969104,Sleep Extension,28.5,9,9339.0,8872.5,3271.5,180.0,3923.0,6225.5
GSM969105,Sleep Extension,31.5,12,8248.0,5385.5,2901.0,141.0,3173.0,5308.0
GSM969106,Sleep Extension,34.5,15,8862.0,10607.5,3184.5,190.5,4070.0,4070.5
GSM969107,Sleep Restriction,7.5,-12,12422.5,6827.0,3678.5,205.0,4157.0,10730.0
GSM969108,Sleep Restriction,10.5,-9,12220.5,5467.5,3490.5,309.0,4077.5,9168.5
